KREG,category,year,value
7143000,HAUS,2010,1640.1724845996
7211000,HAUS,2010,1407.7350993378
7231000,HAUS,2010,1639.5328467153
7232000,HAUS,2010,1694.7079646018
7233000,HAUS,2010,1519.3333333333
7235000,HAUS,2010,1815.2101910828
7314000,HAUS,2010,1355.8717948718
7315000,HAUS,2010,1443.4614003591
7331000,HAUS,2010,1436.0350877193
7332000,HAUS,2010,1556.1953290871
7333000,HAUS,2010,1666.4175824176
7334000,HAUS,2010,1568.3785488959
7335000,HAUS,2010,1476.2193784278
7336000,HAUS,2010,1393.4230769231
7337000,HAUS,2010,1477.1386861314
7338000,HAUS,2010,1668.9726027397
7339000,HAUS,2010,1536.3664122137
7340000,HAUS,2010,1519.3318681319
8111000,HAUS,2010,1542.1135029354
8115000,HAUS,2010,1662.2941847206
8116000,HAUS,2010,1693.0796311819
8117000,HAUS,2010,1693.1095890411
8118000,HAUS,2010,1678.9704918033
8119000,HAUS,2010,1685.9213250518
8121000,HAUS,2010,1423.3658536585
8125000,HAUS,2010,1582.217870257
8126000,HAUS,2010,1612.030075188
8127000,HAUS,2010,1439.5907335907
8128000,HAUS,2010,1429.3808219178
8135000,HAUS,2010,1442.8361581921
8136000,HAUS,2010,1473.1971153846
8212000,HAUS,2010,1472.8625472888
8215000,HAUS,2010,1668.0157170923
8216000,HAUS,2010,1580.5755395684
8221000,HAUS,2010,1325.1339285714
8222000,HAUS,2010,1335.4318442154
8225000,HAUS,2010,1578.2271468144
8226000,HAUS,2010,1511.3784172662
8231000,HAUS,2010,1392.2779456193
8235000,HAUS,2010,1487.5862068966
8236000,HAUS,2010,1569.3524590164
8237000,HAUS,2010,1562.3050847458
8311000,HAUS,2010,1045.043902439
8315000,HAUS,2010,1333.8944519621
8316000,HAUS,2010,1454.505800464
8317000,HAUS,2010,1467.0527256479
8325000,HAUS,2010,1559.3008595989
8326000,HAUS,2010,1451.8007117438
8327000,HAUS,2010,1621.9877300614
8335000,HAUS,2010,1444.2153432032
8336000,HAUS,2010,1425.2012987013
8337000,HAUS,2010,1450.1422222222
8415000,HAUS,2010,1507.6914600551
8416000,HAUS,2010,1567.5874769798
8417000,HAUS,2010,1620.3851203501
8421000,HAUS,2010,1281.1008174387
8425000,HAUS,2010,1500.555331992
8426000,HAUS,2010,1527.5600814664
8435000,HAUS,2010,1452.809946714
8436000,HAUS,2010,1480.1589041096
8437000,HAUS,2010,1464.4712643678
9161000,HAUS,2010,1478.8973607038
9162000,HAUS,2010,1246.2177585026
9171000,HAUS,2010,1363.358974359
9172000,HAUS,2010,1137.7865168539
9173000,HAUS,2010,1297.918699187
9174000,HAUS,2010,1617.5838150289
9175000,HAUS,2010,1631.2658227848
9176000,HAUS,2010,1721.6805555556
9177000,HAUS,2010,1540.1337386018
9178000,HAUS,2010,1622.0444444445
9179000,HAUS,2010,1684.887966805
9180000,HAUS,2010,1066.253164557
9181000,HAUS,2010,1544.7482993197
9182000,HAUS,2010,1261.355704698
9183000,HAUS,2010,1326.7453416149
9184000,HAUS,2010,1684.2782152231
9185000,HAUS,2010,1497.4979423868
9186000,HAUS,2010,1624.625
9187000,HAUS,2010,1305.3832976445
9188000,HAUS,2010,1202.9201877934
9189000,HAUS,2010,1356.0401606426
9190000,HAUS,2010,1277.8217821782
9271000,HAUS,2010,1475.1125401929
9272000,HAUS,2010,1414.1176470588
9273000,HAUS,2010,1489.3552631579
9274000,HAUS,2010,1487.9649122807
9275000,HAUS,2010,1177.5454545455
9276000,HAUS,2010,1391.3636363636
9277000,HAUS,2010,1424.9878048781
9278000,HAUS,2010,1347.1961722488
9279000,HAUS,2010,1472.6341463415
9362000,HAUS,2010,1233.9547511312
9371000,HAUS,2010,1327.7351598174
9372000,HAUS,2010,1450.9132947977
9373000,HAUS,2010,1555.1656441718
9374000,HAUS,2010,1328.4626506024
9375000,HAUS,2010,1520.0082987552
9376000,HAUS,2010,1378.0676328503
9377000,HAUS,2010,1418.7238095238
9471000,HAUS,2010,1489.2916666667
9472000,HAUS,2010,1314.2718808194
9473000,HAUS,2010,1475.8045977012
9474000,HAUS,2010,1491.5643564357
9475000,HAUS,2010,1290.972972973
9476000,HAUS,2010,1435.0309278351
